,Characteristics,Category,Year,Reading,Math,Writing,Percentage Distribution
924,"$100,000, to $150,000",Family income,2015-01-01,531.0,542.0,518.0,5.0
925,"$100,000, to $150,000",Family income,2015-01-01,539.0,551.0,526.0,4.0
926,"$150,000, to $200,000",Family income,2015-01-01,545.0,557.0,534.0,5.0
927,"More than $200,000",Family income,2015-01-01,570.0,587.0,563.0,8.0
928,No high school diploma,Highest level of parental education,2015-01-01,420.0,443.0,415.0,7.0
929,High school diploma,Highest level of parental education,2015-01-01,461.0,471.0,448.0,29.0
930,Associate's Degree,Highest level of parental education,2015-01-01,479.0,483.0,462.0,8.0
931,Bachelor's degree,Highest level of parental education,2015-01-01,521.0,537.0,509.0,31.0
932,Graduate degree,Highest level of parental education,2015-01-01,560.0,575.0,550.0,25.0
933,All students,All students,2014-01-01,497.0,513.0,487.0,100.0
934,Top decile,High school rank,2014-01-01,575.0,606.0,569.0,35.0
935,Second decile,High school rank,2014-01-01,511.0,534.0,500.0,27.0
936,Second quintile,High school rank,2014-01-01,483.0,497.0,469.0,18.0
937,Bottom three quintiles ,High school rank,2014-01-01,439.0,445.0,424.0,20.0
938,A+ (97-100),High school grade point average,2014-01-01,595.0,619.0,591.0,7.0
939,A (93-96),High school grade point average,2014-01-01,559.0,580.0,552.0,21.0
940,A- (90-92),High school grade point average,2014-01-01,524.0,543.0,515.0,20.0
941,B (80-89),High school grade point average,2014-01-01,465.0,474.0,452.0,43.0
942,C (70-79),High school grade point average,2014-01-01,410.0,413.0,395.0,9.0
943,"D, E, or F (below 70)",High school grade point average,2014-01-01,385.0,401.0,372.0,0.0
944,Public,High school type,2014-01-01,492.0,501.0,478.0,84.0
945,"Private, religiously affiliated",High school type,2014-01-01,533.0,537.0,527.0,9.0
946,"Private, independent",High school type,2014-01-01,535.0,580.0,542.0,7.0
947,Agriculture and Related Sciences,Intended college major,2014-01-01,471.0,475.0,455.0,1.0
948,Architecture,Intended college major,2014-01-01,486.0,526.0,478.0,2.0
949,"Area, Ethnic, Cultural, and Gender Studies",Intended college major,2014-01-01,530.0,505.0,515.0,0.0
950,Arts: Visual/Performing,Intended college major,2014-01-01,505.0,493.0,491.0,7.0
951,Biological and Biomedical Sciences,Intended college major,2014-01-01,538.0,551.0,529.0,7.0
952,Business and Commerce,Intended college major,2014-01-01,493.0,522.0,486.0,12.0
953,Communications and journalism,Intended college major,2014-01-01,516.0,498.0,510.0,3.0
954,Computer and Information sciences,Intended college major,2014-01-01,525.0,554.0,500.0,3.0
955,Construction Trades,Intended college major,2014-01-01,427.0,447.0,402.0,0.0
956,Education,Intended college major,2014-01-01,482.0,482.0,474.0,4.0
957,Engineering,Intended college major,2014-01-01,528.0,579.0,513.0,10.0
958,Engineering Technologies,Intended college major,2014-01-01,475.0,526.0,460.0,1.0
959,English Language and Literature,Intended college major,2014-01-01,577.0,522.0,560.0,1.0
960,Family and Consumer Sciences,Intended college major,2014-01-01,449.0,450.0,443.0,0.0
961,Foreign languages and literatures,Intended college major,2014-01-01,557.0,533.0,543.0,1.0
962,General/Interdisciplinary,Intended college major,2014-01-01,,,,
963,Health And Allied Services,Intended college major,2014-01-01,485.0,495.0,479.0,19.0
964,History,Intended college major,2014-01-01,539.0,506.0,505.0,1.0
965,Legal Professions And Studies,Intended college major,2014-01-01,519.0,510.0,504.0,2.0
966,"Liberal Arts And Sciences, General Studies, And Humanities",Intended college major,2014-01-01,548.0,530.0,536.0,1.0
967,Library Science And Administration,Intended college major,2014-01-01,562.0,507.0,518.0,0.0
968,Mathematics,Intended college major,2014-01-01,535.0,613.0,533.0,1.0
969,Mechanic And Repair Technologies Technician,Intended college major,2014-01-01,417.0,442.0,395.0,0.0
970,Military Technologies,Intended college major,2014-01-01,483.0,489.0,455.0,1.0
971,Multi/Interdisciplinary Studies,Intended college major,2014-01-01,585.0,589.0,574.0,1.0
972,Natural Resources And Conservation,Intended college major,2014-01-01,522.0,518.0,499.0,0.0
973,"Parks, Recreation, And Leisure Studies",Intended college major,2014-01-01,435.0,458.0,426.0,1.0
974,Personal And Culinary Services,Intended college major,2014-01-01,445.0,442.0,427.0,0.0
975,Philosophy And Religious Studies,Intended college major,2014-01-01,545.0,525.0,520.0,0.0
976,Physical Sciences,Intended college major,2014-01-01,558.0,585.0,540.0,2.0
977,Precision Production,Intended college major,2014-01-01,456.0,459.0,417.0,0.0
978,Psychology,Intended college major,2014-01-01,503.0,489.0,492.0,5.0
979,Public Administration And Social Services,Intended college major,2014-01-01,463.0,453.0,456.0,0.0
980,Security And Protective Services,Intended college major,2014-01-01,445.0,449.0,432.0,3.0
981,Social Sciences,Intended college major,2014-01-01,,,,
982,Social Sciences,Intended college major,2014-01-01,565.0,550.0,548.0,2.0
983,Technical And Vocational,Intended college major,2014-01-01,,,,
984,Theology And Religious Vocations,Intended college major,2014-01-01,533.0,515.0,510.0,0.0
985,Transportation And Materials Moving,Intended college major,2014-01-01,459.0,488.0,439.0,0.0
986,Other,Intended college major,2014-01-01,451.0,458.0,440.0,2.0
987,Undecided,Intended college major,2014-01-01,533.0,545.0,522.0,7.0
988,Certificate program,Degree-level goal,2014-01-01,438.0,456.0,427.0,1.0
989,Associate's Degree,Degree-level goal,2014-01-01,409.0,410.0,395.0,1.0
990,Bachelor's degree,Degree-level goal,2014-01-01,482.0,491.0,467.0,30.0
991,Master's degree,Degree-level goal,2014-01-01,510.0,527.0,501.0,30.0
992,Doctoral or related degree,Degree-level goal,2014-01-01,537.0,550.0,528.0,22.0
993,Other,Degree-level goal,2014-01-01,406.0,436.0,405.0,1.0
994,Undecided,Degree-level goal,2014-01-01,506.0,520.0,495.0,15.0
995,"Less than $20,000",Family income,2014-01-01,436.0,459.0,429.0,13.0
996,"$20,000, to $40,000",Family income,2014-01-01,467.0,481.0,455.0,16.0
997,"$40,000, to $60,000",Family income,2014-01-01,489.0,500.0,474.0,14.0
998,"$60,000, to $80,000",Family income,2014-01-01,504.0,512.0,487.0,13.0
999,"$80,000 to $100,000",Family income,2014-01-01,516.0,526.0,501.0,11.0
1000,"$100,000, to $150,000",Family income,2014-01-01,527.0,539.0,513.0,10.0
1001,"$100,000, to $150,000",Family income,2014-01-01,531.0,542.0,518.0,5.0
1002,"$100,000, to $150,000",Family income,2014-01-01,539.0,552.0,527.0,4.0
1003,"$150,000, to $200,000",Family income,2014-01-01,544.0,558.0,534.0,5.0
1004,"More than $200,000",Family income,2014-01-01,569.0,588.0,565.0,8.0
1005,No high school diploma,Highest level of parental education,2014-01-01,421.0,447.0,418.0,7.0
1006,High school diploma,Highest level of parental education,2014-01-01,462.0,473.0,450.0,29.0
1007,Associate's Degree,Highest level of parental education,2014-01-01,480.0,485.0,463.0,8.0
1008,Bachelor's degree,Highest level of parental education,2014-01-01,523.0,539.0,512.0,32.0
1009,Graduate degree,Highest level of parental education,2014-01-01,560.0,575.0,551.0,25.0
1010,All students,All students,2000-01-01,505.0,514.0,0.0,100.0
1011,Top decile,High school rank,2000-01-01,589.0,608.0,0.0,22.0
1012,Second decile,High school rank,2000-01-01,528.0,543.0,0.0,23.0
1013,Second quintile,High school rank,2000-01-01,493.0,500.0,0.0,27.0
1014,Third quintile,High school rank,2000-01-01,455.0,453.0,0.0,23.0
1015,Fourth quintile,High school rank,2000-01-01,425.0,419.0,0.0,4.0
1016,Fifth quintile,High school rank,2000-01-01,408.0,401.0,0.0,1.0
1017,A+ (97-100),High school grade point average,2000-01-01,610.0,628.0,0.0,7.0
1018,A (93-96),High school grade point average,2000-01-01,567.0,582.0,0.0,16.0
1019,A- (90-92),High school grade point average,2000-01-01,540.0,553.0,0.0,17.0
1020,B (80-89),High school grade point average,2000-01-01,482.0,486.0,0.0,47.0
1021,C (70-79),High school grade point average,2000-01-01,428.0,426.0,0.0,12.0
1022,"D, E, or F (below 70)",High school grade point average,2000-01-01,405.0,406.0,0.0,0.0
1023,Agriculture and Related Sciences,Intended college major,2000-01-01,490.0,486.0,0.0,1.0
1024,Architecture,Intended college major,2000-01-01,494.0,524.0,0.0,2.0
1025,Arts: Visual/Performing,Intended college major,2000-01-01,518.0,502.0,0.0,8.0
1026,Biological and Biomedical Sciences,Intended college major,2000-01-01,544.0,548.0,0.0,5.0
1027,Business and Commerce,Intended college major,2000-01-01,487.0,510.0,0.0,14.0
1028,Communications and Journalism,Intended college major,2000-01-01,526.0,505.0,0.0,4.0
1029,Computer and Information sciences,Intended college major,2000-01-01,499.0,533.0,0.0,6.0
1030,Education,Intended college major,2000-01-01,483.0,481.0,0.0,9.0
1031,Engineering,Intended college major,2000-01-01,523.0,573.0,0.0,8.0
1032,Foreign languages and literatures,Intended college major,2000-01-01,558.0,539.0,0.0,1.0
1033,General/Interdisciplinary,Intended college major,2000-01-01,562.0,545.0,0.0,0.0
1034,Health And Allied Services,Intended college major,2000-01-01,497.0,505.0,0.0,16.0
1035,Home Economics,Intended college major,2000-01-01,462.0,462.0,0.0,0.0
1036,Language And Literature,Intended college major,2000-01-01,608.0,552.0,0.0,1.0
1037,Library And Archival Sciences,Intended college major,2000-01-01,556.0,511.0,0.0,0.0
1038,Mathematics,Intended college major,2000-01-01,551.0,630.0,0.0,1.0
1039,Military Sciences,Intended college major,2000-01-01,505.0,512.0,0.0,0.0
1040,Philosophy And Religious Studies,Intended college major,2000-01-01,560.0,539.0,0.0,1.0
1041,Physical Sciences,Intended college major,2000-01-01,569.0,592.0,0.0,1.0
1042,Public Affairs And Services,Intended college major,2000-01-01,459.0,454.0,0.0,3.0
1043,Social Sciences,Intended college major,2000-01-01,532.0,513.0,0.0,11.0
1044,Technical And Vocational,Intended college major,2000-01-01,442.0,452.0,0.0,1.0
1045,Undecided,Intended college major,2000-01-01,512.0,521.0,0.0,7.0
1046,Certificate program,Degree-level goal,2000-01-01,439.0,453.0,0.0,1.0
1047,Associate's Degree,Degree-level goal,2000-01-01,420.0,419.0,0.0,2.0
1048,Bachelor's degree,Degree-level goal,2000-01-01,478.0,483.0,0.0,25.0
1049,Master's degree,Degree-level goal,2000-01-01,515.0,526.0,0.0,31.0
1050,Doctoral or related degree,Degree-level goal,2000-01-01,547.0,554.0,0.0,22.0
1051,Other,Degree-level goal,2000-01-01,442.0,454.0,0.0,1.0
1052,Undecided,Degree-level goal,2000-01-01,508.0,514.0,0.0,19.0
1053,"Less than $20,000",Family income,2000-01-01,425.0,447.0,0.0,4.0
1054,"Less than $20,000",Family income,2000-01-01,447.0,460.0,0.0,8.0
1055,"$20,000, to $40,000",Family income,2000-01-01,471.0,478.0,0.0,10.0
1056,"$20,000, to $40,000",Family income,2000-01-01,490.0,493.0,0.0,12.0
1057,"$40,000, to $60,000",Family income,2000-01-01,503.0,505.0,0.0,10.0
1058,"$40,000, to $60,000",Family income,2000-01-01,511.0,515.0,0.0,11.0
1059,"$60,000, to $80,000",Family income,2000-01-01,517.0,522.0,0.0,9.0
1060,"$60,000, to $80,000",Family income,2000-01-01,524.0,530.0,0.0,8.0
1061,"$80,000 to $100,000",Family income,2000-01-01,536.0,543.0,0.0,10.0
1062,"$100,000, to $150,000",Family income,2000-01-01,558.0,571.0,0.0,16.0
1063,No high school diploma,Highest level of parental education,2000-01-01,413.0,442.0,0.0,4.0
1064,High school diploma,Highest level of parental education,2000-01-01,472.0,477.0,0.0,33.0
1065,Associate's Degree,Highest level of parental education,2000-01-01,488.0,491.0,0.0,9.0
1066,Bachelor's degree,Highest level of parental education,2000-01-01,525.0,533.0,0.0,29.0
1067,Graduate degree,Highest level of parental education,2000-01-01,558.0,566.0,0.0,25.0
1068,All students,All students,2019-01-01,531.0,528.0,0.0,100.0
1069,Certificate program,Degree-level goal,2019-01-01,453.0,447.0,0.0,1.2071010791149177
1070,Associate's Degree,Degree-level goal,2019-01-01,449.0,434.0,0.0,2.060258955131209
1071,Bachelor's degree,Degree-level goal,2019-01-01,524.0,515.0,0.0,27.981169622537543
1072,Master's degree,Degree-level goal,2019-01-01,560.0,558.0,0.0,31.458511828579667
1073,Doctoral or related degree,Degree-level goal,2019-01-01,580.0,578.0,0.0,22.214428926495007
1074,Other,Degree-level goal,2019-01-01,452.0,452.0,0.0,0.737402473733508
1075,Undecided,Degree-level goal,2019-01-01,530.0,524.0,0.0,14.341127114408147
1076,Agriculture and Related Sciences,Intended college major,2019-01-01,496.0,481.0,0.0,1.3547102731878515
1077,Architecture,Intended college major,2019-01-01,520.0,527.0,0.0,1.576299177103096
1078,"Area, Ethnic, Cultural, and Gender Studies",Intended college major,2019-01-01,536.0,504.0,0.0,0.1429588290535407
1079,Biological and Biomedical Sciences,Intended college major,2019-01-01,572.0,566.0,0.0,8.473885951589757
1080,Business and Commerce,Intended college major,2019-01-01,534.0,537.0,0.0,12.045899082703505
1081,Communications and Journalism,Intended college major,2019-01-01,550.0,519.0,0.0,1.97564860295673
1082,Computer and Information sciences,Intended college major,2019-01-01,571.0,585.0,0.0,4.335855912291033
1083,Construction Trades,Intended college major,2019-01-01,459.0,460.0,0.0,0.1359441128314385
1084,Education,Intended college major,2019-01-01,519.0,503.0,0.0,3.9087738874197866
1085,Engineering,Intended college major,2019-01-01,559.0,581.0,0.0,10.556169116651468
1086,Engineering Technologies,Intended college major,2019-01-01,512.0,528.0,0.0,1.8268169882288712
1087,English Language and Literature,Intended college major,2019-01-01,585.0,533.0,0.0,0.8827123134370967
1088,Family and Consumer Sciences,Intended college major,2019-01-01,484.0,469.0,0.0,0.3517689863626304
1089,Foreign languages and literatures,Intended college major,2019-01-01,566.0,536.0,0.0,0.5402962820372693
1090,Health And Allied Services,Intended college major,2019-01-01,529.0,518.0,0.0,18.00041435765591
1091,History,Intended college major,2019-01-01,563.0,527.0,0.0,0.6857564827669086
1092,Legal Professions And Studies,Intended college major,2019-01-01,564.0,540.0,0.0,1.9460671640046088
1093,"Liberal Arts And Sciences, General Studies, And Humanities",Intended college major,2019-01-01,584.0,556.0,0.0,0.4682459022366069
1094,Library Science/Librarianship,Intended college major,2019-01-01,577.0,527.0,0.0,0.0
1095,Mathematics,Intended college major,2019-01-01,597.0,646.0,0.0,0.897666165848555
1096,Mechanic And Repair Technologies Technician,Intended college major,2019-01-01,458.0,458.0,0.0,0.3584574367139371
1097,Military Technologies,Intended college major,2019-01-01,498.0,486.0,0.0,0.4050047009474217
1098,Multi/Interdisciplinary Studies,Intended college major,2019-01-01,581.0,574.0,0.0,0.1619910048499421
1099,Natural Resources And Conservation,Intended college major,2019-01-01,562.0,543.0,0.0,0.5517699651602428
1100,"Parks, Recreation, And Leisure Studies",Intended college major,2019-01-01,482.0,478.0,0.0,0.7090301148836509
1101,Personal And Culinary Services,Intended college major,2019-01-01,474.0,456.0,0.0,0.3625901377440129
1102,Philosophy And Religious Studies,Intended college major,2019-01-01,572.0,548.0,0.0,0.1838508181932375
1103,Physical Sciences,Intended college major,2019-01-01,597.0,606.0,0.0,1.43111086459912
1104,Precision Production,Intended college major,2019-01-01,466.0,466.0,0.0,0.0
1105,Psychology,Intended college major,2019-01-01,546.0,518.0,0.0,4.112363790796149
1106,Public Administration And Social Services,Intended college major,2019-01-01,513.0,488.0,0.0,0.4269732695809822
1107,Security And Protective Services,Intended college major,2019-01-01,495.0,479.0,0.0,3.707304712203594
1108,Social Sciences,Intended college major,2019-01-01,594.0,570.0,0.0,1.8138207310421852
1109,Theology And Religious Vocations,Intended college major,2019-01-01,561.0,535.0,0.0,0.1082658914589576
1110,Transportation And Materials Moving,Intended college major,2019-01-01,511.0,508.0,0.0,0.0600872978714958
1111,"Visual And Performing Arts, General",Intended college major,2019-01-01,536.0,510.0,0.0,7.1040043154099175
1112,Other,Intended college major,2019-01-01,488.0,476.0,0.0,1.4621061223246878
1113,Undecided,Intended college major,2019-01-01,538.0,532.0,0.0,6.902643895483991
1114,All students,All students,2018-01-01,536.0,531.0,0.0,100.0
1115,Agriculture and Related Sciences,Intended college major,2018-01-01,507.0,493.0,0.0,1.2000017983448483
1116,Architecture,Intended college major,2018-01-01,527.0,535.0,0.0,1.4160279732541163
1117,"Area, Ethnic, Cultural, and Gender Studies",Intended college major,2018-01-01,547.0,513.0,0.0,0.1153750616776084
1118,Biological and Biomedical Sciences,Intended college major,2018-01-01,579.0,573.0,0.0,7.642178829659652
1119,Business and Commerce,Intended college major,2018-01-01,542.0,545.0,0.0,11.501033486305042
1120,Communications and Journalism,Intended college major,2018-01-01,557.0,525.0,0.0,1.9536206863607908
1121,Computer and Information sciences,Intended college major,2018-01-01,576.0,588.0,0.0,4.023459408546859
1122,Construction Trades,Intended college major,2018-01-01,469.0,470.0,0.0,0.097054423534939
1123,Education,Intended college major,2018-01-01,527.0,510.0,0.0,3.8126034750766262
1124,Engineering,Intended college major,2018-01-01,565.0,587.0,0.0,10.707794813348665
1125,Engineering Technologies,Intended college major,2018-01-01,518.0,536.0,0.0,1.7407416149361532
1126,English Language and Literature,Intended college major,2018-01-01,593.0,539.0,0.0,0.9357013039124116
1127,Family and Consumer Sciences,Intended college major,2018-01-01,491.0,475.0,0.0,0.2865550119308941
1128,Foreign languages and literatures,Intended college major,2018-01-01,574.0,542.0,0.0,0.4956687988292775
1129,Health And Allied Services,Intended college major,2018-01-01,533.0,522.0,0.0,18.730267380159983
1130,History,Intended college major,2018-01-01,563.0,527.0,0.0,0.7154040599882883
1131,Legal Professions And Studies,Intended college major,2018-01-01,562.0,538.0,0.0,1.9717727296739265
1132,"Liberal Arts And Sciences, General Studies, And Humanities",Intended college major,2018-01-01,583.0,553.0,0.0,0.4923531005151134
1133,Library Science/Librarianship,Intended college major,2018-01-01,581.0,530.0,0.0,0.0
1134,Mathematics,Intended college major,2018-01-01,603.0,650.0,0.0,0.8049841127472303
1135,Mechanic And Repair Technologies Technician,Intended college major,2018-01-01,468.0,470.0,0.0,0.2759335376702667
1136,Military Technologies,Intended college major,2018-01-01,496.0,486.0,0.0,0.464141565706463
1137,Multi/Interdisciplinary Studies,Intended college major,2018-01-01,591.0,584.0,0.0,0.2068096575614219
1138,Natural Resources And Conservation,Intended college major,2018-01-01,564.0,545.0,0.0,0.5837876963989268
1139,"Parks, Recreation, And Leisure Studies",Intended college major,2018-01-01,484.0,481.0,0.0,0.8166171559850604
1140,Personal And Culinary Services,Intended college major,2018-01-01,480.0,463.0,0.0,0.4065945305589368
1141,Philosophy And Religious Studies,Intended college major,2018-01-01,572.0,545.0,0.0,0.1865220797408585
1142,Physical Sciences,Intended college major,2018-01-01,599.0,606.0,0.0,1.4832973102380898
1143,Precision Production,Intended college major,2018-01-01,482.0,480.0,0.0,0.0
1144,Psychology,Intended college major,2018-01-01,548.0,519.0,0.0,4.173902194767491
1145,Public Administration And Social Services,Intended college major,2018-01-01,517.0,491.0,0.0,0.4449217551396133
1146,Security And Protective Services,Intended college major,2018-01-01,497.0,482.0,0.0,3.711165585973809
1147,Social Sciences,Intended college major,2018-01-01,595.0,571.0,0.0,1.966209100299312
1148,Theology And Religious Vocations,Intended college major,2018-01-01,565.0,536.0,0.0,0.1133519237232032
1149,Transportation And Materials Moving,Intended college major,2018-01-01,519.0,518.0,0.0,0.0513652247312879
1150,"Visual And Performing Arts, General",Intended college major,2018-01-01,539.0,512.0,0.0,7.097786125095115
1151,Other,Intended college major,2018-01-01,489.0,477.0,0.0,1.6449797517609732
1152,Undecided,Intended college major,2018-01-01,547.0,540.0,0.0,7.70023164929578
1153,Certificate program,Degree-level goal,2018-01-01,468.0,462.0,0.0,0.9885916434526094
1154,Associate's Degree,Degree-level goal,2018-01-01,460.0,446.0,0.0,1.6328539111890688
1155,Bachelor's degree,Degree-level goal,2018-01-01,530.0,520.0,0.0,27.609544474113385
1156,Master's degree,Degree-level goal,2018-01-01,564.0,561.0,0.0,32.61248926978049
1157,Doctoral or related degree,Degree-level goal,2018-01-01,584.0,579.0,0.0,23.282362919440917
1158,Other,Degree-level goal,2018-01-01,462.0,461.0,0.0,0.6749933597744762
1159,Undecided,Degree-level goal,2018-01-01,542.0,535.0,0.0,13.199164422249057
1160,All students,All students,2008-01-01,502.0,515.0,494.0,100.0
1161,Top decile,High school rank,2008-01-01,573.0,598.0,569.0,31.0
1162,Second decile,High school rank,2008-01-01,511.0,531.0,505.0,27.0
1163,Second quintile,High school rank,2008-01-01,481.0,495.0,472.0,20.0
1164,Bottom three quintiles ,High school rank,2008-01-01,441.0,447.0,431.0,22.0
1165,A+ (97-100),High school grade point average,2008-01-01,595.0,615.0,592.0,6.0
1166,A (93-96),High school grade point average,2008-01-01,559.0,578.0,555.0,18.0
1167,A- (90-92),High school grade point average,2008-01-01,529.0,547.0,523.0,19.0
1168,B (80-89),High school grade point average,2008-01-01,474.0,484.0,465.0,47.0
1169,C (70-79),High school grade point average,2008-01-01,421.0,423.0,408.0,11.0
1170,"D, E, or F (below 70)",High school grade point average,2008-01-01,402.0,411.0,390.0,0.0
1171,Public,High school type,2008-01-01,497.0,510.0,488.0,84.0
1172,Religiously affiliated,High school type,2008-01-01,532.0,531.0,529.0,11.0
1173,Independent,High school type,2008-01-01,550.0,574.0,553.0,5.0
1174,Agriculture and Related Sciences,Intended college major,2008-01-01,478.0,481.0,465.0,1.0
1175,Architecture,Intended college major,2008-01-01,488.0,532.0,483.0,2.0
1176,"Area, Ethnic, Cultural, and Gender Studies",Intended college major,2008-01-01,554.0,521.0,541.0,0.0
1177,Arts: Visual/Performing,Intended college major,2008-01-01,516.0,502.0,506.0,8.0
1178,Biological and Biomedical Sciences,Intended college major,2008-01-01,537.0,551.0,528.0,5.0
1179,Business and Commerce,Intended college major,2008-01-01,481.0,509.0,477.0,15.0
1180,Communications and Journalism,Intended college major,2008-01-01,522.0,502.0,519.0,4.0
1181,Computer and Information sciences,Intended college major,2008-01-01,502.0,529.0,477.0,3.0
1182,Construction Trades,Intended college major,2008-01-01,424.0,460.0,409.0,0.0
1183,Education,Intended college major,2008-01-01,478.0,482.0,475.0,7.0
1184,Engineering,Intended college major,2008-01-01,522.0,579.0,508.0,8.0
1185,Engineering Technologies,Intended college major,2008-01-01,462.0,508.0,447.0,1.0
1186,Foreign languages and literatures,Intended college major,2008-01-01,576.0,545.0,564.0,1.0
1187,General/Interdisciplinary,Intended college major,2008-01-01,,,,
1188,Health And Allied Services,Intended college major,2008-01-01,486.0,498.0,483.0,19.0
1189,History,Intended college major,2008-01-01,548.0,515.0,518.0,1.0
1190,Home Economics,Intended college major,2008-01-01,466.0,467.0,462.0,0.0
1191,Language And Literature,Intended college major,2008-01-01,592.0,533.0,577.0,2.0
1192,Legal Professions And Studies,Intended college major,2008-01-01,509.0,505.0,500.0,3.0
1193,"Liberal Arts And Sciences, General Studies, And Humanities",Intended college major,2008-01-01,554.0,532.0,544.0,1.0
1194,Library And Archival Sciences,Intended college major,2008-01-01,587.0,517.0,537.0,0.0
1195,Mathematics,Intended college major,2008-01-01,525.0,609.0,532.0,1.0
1196,Mechanic And Repair Technologies Technician,Intended college major,2008-01-01,420.0,449.0,403.0,0.0
1197,Military Sciences,Intended college major,2008-01-01,516.0,518.0,486.0,0.0
1198,Multi/Interdisciplinary Studies,Intended college major,2008-01-01,598.0,586.0,586.0,0.0
1199,Natural Resources And Conservation,Intended college major,2008-01-01,522.0,519.0,503.0,0.0
1200,"Parks, Recreation, And Leisure Studies",Intended college major,2008-01-01,455.0,478.0,448.0,1.0
1201,Personal And Culinary Services,Intended college major,2008-01-01,459.0,459.0,446.0,0.0
1202,Philosophy And Religious Studies,Intended college major,2008-01-01,569.0,548.0,546.0,0.0
1203,Physical Sciences,Intended college major,2008-01-01,556.0,586.0,539.0,1.0
1204,Precision Production,Intended college major,2008-01-01,436.0,462.0,412.0,0.0
1205,Psychology,Intended college major,2008-01-01,503.0,488.0,496.0,5.0
1206,Public Affairs And Services,Intended college major,2008-01-01,467.0,452.0,461.0,0.0
1207,Security And Protective Services,Intended college major,2008-01-01,451.0,458.0,440.0,2.0
1208,Social Sciences,Intended college major,2008-01-01,,,,
1209,Social Sciences,Intended college major,2008-01-01,567.0,546.0,551.0,2.0
1210,Technical And Vocational,Intended college major,2008-01-01,,,,
1211,Theology And Religious Vocations,Intended college major,2008-01-01,544.0,525.0,522.0,0.0
1212,Transportation And Materials Moving,Intended college major,2008-01-01,461.0,490.0,445.0,0.0
1213,Other,Intended college major,2008-01-01,466.0,472.0,456.0,1.0
1214,Undecided,Intended college major,2008-01-01,525.0,540.0,516.0,3.0
1215,Certificate program,Degree-level goal,2008-01-01,438.0,455.0,430.0,1.0
1216,Associate's Degree,Degree-level goal,2008-01-01,416.0,419.0,407.0,1.0
1217,Bachelor's degree,Degree-level goal,2008-01-01,475.0,485.0,466.0,27.0
1218,Master's degree,Degree-level goal,2008-01-01,505.0,519.0,498.0,31.0
1219,Doctoral or related degree,Degree-level goal,2008-01-01,531.0,542.0,524.0,19.0
1220,Other,Degree-level goal,2008-01-01,433.0,449.0,430.0,0.0
1221,Undecided,Degree-level goal,2008-01-01,512.0,523.0,504.0,21.0
1222,"Less than $20,000",Family income,2008-01-01,434.0,456.0,430.0,10.0
1223,"$20,000, to $40,000",Family income,2008-01-01,462.0,473.0,453.0,15.0
1224,"$40,000, to $60,000",Family income,2008-01-01,488.0,496.0,477.0,16.0
1225,"$60,000, to $80,000",Family income,2008-01-01,502.0,510.0,490.0,16.0
1226,"$80,000 to $100,000",Family income,2008-01-01,514.0,525.0,504.0,13.0
1227,"$100,000, to $150,000",Family income,2008-01-01,522.0,534.0,512.0,11.0
1228,"$100,000, to $150,000",Family income,2008-01-01,526.0,537.0,517.0,5.0
1229,"$100,000, to $150,000",Family income,2008-01-01,533.0,546.0,525.0,4.0
1230,"$150,000, to $200,000",Family income,2008-01-01,535.0,548.0,529.0,4.0
1231,"More than $200,000",Family income,2008-01-01,554.0,570.0,552.0,6.0
1232,No high school diploma,Highest level of parental education,2008-01-01,419.0,441.0,417.0,5.0
1233,High school diploma,Highest level of parental education,2008-01-01,464.0,474.0,455.0,32.0
1234,Associate's Degree,Highest level of parental education,2008-01-01,482.0,490.0,471.0,9.0
1235,Bachelor's degree,Highest level of parental education,2008-01-01,518.0,531.0,510.0,30.0
1236,Graduate degree,Highest level of parental education,2008-01-01,553.0,565.0,546.0,25.0
1237,All students,All students,2009-01-01,501.0,515.0,493.0,100.0
1238,Top decile,High school rank,2009-01-01,576.0,603.0,573.0,33.0
1239,Second decile,High school rank,2009-01-01,512.0,534.0,505.0,27.0
1240,Second quintile,High school rank,2009-01-01,482.0,497.0,471.0,19.0
1241,Bottom three quintiles ,High school rank,2009-01-01,441.0,448.0,430.0,20.0
1242,A+ (97-100),High school grade point average,2009-01-01,599.0,621.0,597.0,6.0
1243,A (93-96),High school grade point average,2009-01-01,563.0,583.0,559.0,19.0
1244,A- (90-92),High school grade point average,2009-01-01,532.0,551.0,526.0,19.0
1245,B (80-89),High school grade point average,2009-01-01,474.0,484.0,464.0,46.0
1246,C (70-79),High school grade point average,2009-01-01,420.0,422.0,406.0,11.0
1247,"D, E, or F (below 70)",High school grade point average,2009-01-01,399.0,412.0,387.0,0.0
1248,Public,High school type,2009-01-01,496.0,510.0,487.0,84.0
1249,"Private, religiously affiliated",High school type,2009-01-01,533.0,533.0,530.0,11.0
1250,"Private, independent",High school type,2009-01-01,550.0,578.0,555.0,6.0
1251,Agriculture and Related Sciences,Intended college major,2009-01-01,478.0,485.0,465.0,1.0
1252,Architecture,Intended college major,2009-01-01,491.0,534.0,485.0,2.0
1253,"Area, Ethnic, Cultural, and Gender Studies",Intended college major,2009-01-01,551.0,515.0,536.0,0.0
1254,Arts: Visual/Performing,Intended college major,2009-01-01,516.0,503.0,506.0,8.0
1255,Biological and Biomedical Sciences,Intended college major,2009-01-01,541.0,557.0,533.0,6.0
1256,Business and Commerce,Intended college major,2009-01-01,486.0,516.0,481.0,14.0
